UserID,CourseID,Course Name,Choice,Ground Truth
4,CSCI-A216,DIGITAL MULTIMEDIA CONCEPTS AND TECHNOLOGIES,A,1
4,CSCI-A338,NETWORK TECHNOLOGIES AND SYSTEMS ADMINISTRATION,SD,-2
4,CSCI-A593,COMPUTER STRUCTURES,SA,2
4,CSCI-A596,PROGRAMMING LANGUAGES,SD,-2
4,CSCI-B430,SECURITY FOR NETWORKED SYSTEMS,SD,-2
4,CSCI-B505,APPLIED ALGORITHMS,SA,2
4,CSCI-B546,MALWARE EPIDEMIC: THREAT AND DEFENSE,NO,0
4,CSCI-P423,COMPILERS,D,-1
4,CSCI-P465,SOFTWARE ENGINEERING FOR INFORMATION SYSTEMS I,NO,0
4,CSCI-P556,APPLIED MACHINE LEARNING,SA,2
