UserID,CourseID,Course Name,Choice,Ground Truth
5,CSCI-A110,INTRODUCTION TO COMPUTERS AND COMPUTING,NO,0
5,CSCI-B403,INTRODUCTION TO ALGORITHM DESIGN AND ANALYSIS,SA,2
5,CSCI-B565,DATA MINING,SA,2
5,CSCI-C335,COMPUTER STRUCTURES,SA,2
5,CSCI-H343,DATA STRUCTURES  HONORS,SA,2
5,CSCI-P523,PROGRAMMING LANGUAGE IMPLEMENT,SA,2
5,CSCI-Y793,MASTER'S SOFTWARE THESIS,SA,2
5,ENGR-E312,MODERN COMPUTER ARCHITECTURE,SA,2
5,ENGR-E321,ADVANCED CYBERPHYSICAL SYSTEMS,D,-1
5,ILS-Z571,MATERIALS FOR YOUTH,SD,-2
