UserID,CourseID,Course Name,Choice,Ground Truth
6,CSCI-B544,SECURITY FOR NETWORKED SYSTEMS,D,-1
6,CSCI-B565,DATA MINING,SA,2
6,CSCI-C292,INTRODUCTION TO GAME PROGRAMMING,SA,2
6,CSCI-C311,PROGRAMMING LANGUAGES,D,-1
6,ENGR-E311,CIRCUITS AND DIGITAL SYSTEMS,SA,2
6,ENGR-E313,ENGINEERING COMPILERS,SD,-2
6,ENGR-E518,ENGINEERING NETWORKS,SA,2
6,ILS-Z115,FROM JAMES BOND TO ZOMBIE APOCALYPSE AND NSA LEAKS: EVALUATING INFORMATION AND INTELLIGENCE,D,-1
6,ILS-Z581,ARCHIVES AND RECORDS MANAGEMENT,SA,2
6,INFO-I101,INTRODUCTION TO INFORMATICS,NO,0
