UserID,CourseID,Course Name,Choice,Ground Truth
4,CSCI-A110,INTRODUCTION TO COMPUTERS AND COMPUTING,SD,-2
4,CSCI-B403,INTRODUCTION TO ALGORITHM DESIGN AND ANALYSIS,SA,2
4,CSCI-B565,DATA MINING,SA,2
4,CSCI-C335,COMPUTER STRUCTURES,NO,0
4,CSCI-H343,DATA STRUCTURES  HONORS,D,-1
4,CSCI-P523,PROGRAMMING LANGUAGE IMPLEMENT,SA,2
4,CSCI-Y793,MASTER'S SOFTWARE THESIS,SA,2
4,ENGR-E312,MODERN COMPUTER ARCHITECTURE,NO,0
4,ENGR-E321,ADVANCED CYBERPHYSICAL SYSTEMS,D,-1
4,ILS-Z571,MATERIALS FOR YOUTH,SA,2
