UserID,CourseID,Course Name,Choice,Ground Truth
4,CSCI-A541,COMPUTING AND TECHNOLOGY BOOTCAMP,SD,-2
4,CSCI-B392,COMPETITIVE PROGRAMMING,SA,2
4,CSCI-B555,MACHINE LEARNING,SA,2
4,CSCI-B599,TEACHING IN COMPUTER SCIENCE,SA,2
4,CSCI-C211,INTRODUCTION TO COMPUTER SCIENCE,SA,2
4,CSCI-C212,INTRODUCTION TO SOFTWARE SYSTEMS,SA,2
4,CSCI-P532,OBJECTORIENTED SOFTWARE DEVELOPMENT,A,1
4,CSCI-P538,COMPUTER NETWORKS,SA,2
4,CSCI-P565,SOFTWARE ENGINEERING I,SD,-2
4,ENGR-E311,CIRCUITS AND DIGITAL SYSTEMS,SD,-2
