UserID,CourseID,Course Name,Choice,Ground Truth
5,CSCI-A541,COMPUTING AND TECHNOLOGY BOOTCAMP,NO,0
5,CSCI-B392,COMPETITIVE PROGRAMMING,SA,2
5,CSCI-B555,MACHINE LEARNING,SA,2
5,CSCI-B599,TEACHING IN COMPUTER SCIENCE,SA,2
5,CSCI-C211,INTRODUCTION TO COMPUTER SCIENCE,SA,2
5,CSCI-C212,INTRODUCTION TO SOFTWARE SYSTEMS,SA,2
5,CSCI-P532,OBJECTORIENTED SOFTWARE DEVELOPMENT,SD,-2
5,CSCI-P538,COMPUTER NETWORKS,SA,2
5,CSCI-P565,SOFTWARE ENGINEERING I,SD,-2
5,ENGR-E311,CIRCUITS AND DIGITAL SYSTEMS,NO,0
